timestamps,TP9,AF7,AF8,TP10
1610747622.969,-291.992,-39.551,-409.180,-103.027
1610747622.973,-98.633,-40.527,-142.090,-65.430
1610747622.977,205.566,-34.180,410.156,4.883
1610747622.981,75.684,-32.227,187.988,-15.625
1610747622.985,-259.277,-32.227,-360.352,-86.914
1610747622.989,-195.312,-31.250,-358.398,-70.801
1610747622.993,149.902,-21.973,200.195,11.719
1610747622.996,153.809,-19.043,213.867,13.672
1610747623.000,-179.688,-23.926,-367.676,-62.012
1610747623.004,-245.117,-29.297,-412.109,-81.543
1610747623.008,79.102,-31.250,208.008,-16.113
1610747623.012,206.055,-28.320,278.809,12.207
1610747623.013,-91.309,-27.832,-245.117,-50.293
1610747623.017,-279.297,-29.785,-341.797,-91.797
1610747623.021,-19.043,-39.062,38.574,-28.320
1610747623.025,222.168,-38.574,343.262,27.344
1610747623.029,14.648,-30.762,118.652,-28.320
1610747623.033,-274.902,-30.273,-343.262,-85.449
1610747623.037,-117.676,-38.086,-151.855,-47.852
1610747623.040,185.547,-37.598,190.918,17.090
1610747623.044,93.262,-31.738,-9.766,-3.906
1610747623.048,-229.980,-31.738,-189.941,-83.008
1610747623.052,-210.449,-35.645,-202.148,-79.590
1610747623.056,119.141,-39.551,227.051,-3.418
1610747623.058,161.621,-34.668,369.629,12.207
1610747623.062,-150.879,-28.809,-44.922,-54.688
1610747623.066,-248.047,-27.832,-353.516,-74.707
1610747623.070,55.176,-29.785,41.016,-17.090
1610747623.074,212.891,-37.598,424.316,13.184
1610747623.078,-64.453,-45.410,-22.949,-46.875
1610747623.082,-296.875,-41.016,-464.844,-105.957
1610747623.085,-66.406,-34.180,-340.820,-50.781
1610747623.089,206.543,-33.203,183.594,8.301
1610747623.093,32.227,-32.227,223.633,-36.621
1610747623.097,-283.203,-38.574,-471.191,-101.074
1610747623.101,-154.297,-43.457,-284.668,-65.918
1610747623.103,183.594,-34.668,403.809,5.859
1610747623.107,124.512,-30.273,311.523,-12.207
1610747623.111,-216.309,-31.250,-172.852,-83.984
1610747623.115,-225.098,-30.762,-265.137,-78.125
1610747623.119,110.352,-34.668,230.469,-4.395
1610747623.123,175.781,-40.527,334.473,1.465
1610747623.127,-150.879,-45.410,-300.293,-69.824
1610747623.130,-286.133,-44.922,-517.090,-95.703
1610747623.134,22.461,-36.621,145.508,-28.320
1610747623.138,212.891,-28.809,392.090,16.113
1610747623.142,-47.852,-31.250,-41.504,-36.133
1610747623.146,-300.293,-39.062,-369.629,-89.844
1610747623.148,-82.031,-38.574,17.090,-47.363
1610747623.152,210.449,-39.062,344.727,24.902
1610747623.156,58.105,-44.434,120.605,-10.742
1610747623.160,-255.371,-43.945,-245.117,-85.938
1610747623.164,-160.156,-41.992,-182.617,-61.523
1610747623.168,170.410,-41.504,255.859,12.207
1610747623.172,142.578,-35.156,81.543,8.301
1610747623.175,-189.941,-29.297,-303.223,-61.523
1610747623.179,-230.957,-32.715,-257.324,-68.848
1610747623.183,92.285,-29.297,22.949,-1.953
1610747623.187,187.988,-30.273,203.125,14.648
1610747623.191,-108.398,-34.180,-53.223,-54.688
1610747623.194,-278.809,-36.621,-387.695,-92.285
1610747623.198,-14.648,-42.480,-137.207,-39.062
1610747623.202,213.379,-37.598,262.207,2.930
1610747623.206,-5.371,-34.668,186.523,-47.852
1610747623.210,-285.645,-41.016,-286.133,-99.121
1610747623.214,-106.934,-38.086,-291.504,-57.129
1610747623.218,203.125,-33.203,224.121,5.371
1610747623.221,90.820,-38.086,272.461,-13.672
1610747623.225,-250.977,-41.504,-245.605,-81.055
1610747623.229,-208.008,-39.062,-439.941,-69.336
1610747623.233,138.672,-38.574,131.836,0.977
1610747623.237,152.344,-41.992,395.020,0.977
1610747623.253,-184.570,-42.480,-120.117,-71.777
1610747623.257,-263.184,-40.039,-359.863,-87.402
1610747623.261,56.641,-40.527,112.793,-20.508
1610747623.265,197.754,-45.410,372.070,11.719
1610747623.269,-87.402,-43.457,-59.082,-44.922
1610747623.273,-298.828,-39.062,-525.879,-91.309
1610747623.277,-41.992,-39.551,-58.594,-39.062
1610747623.280,218.750,-35.645,456.543,19.043
1610747623.284,19.043,-33.691,49.316,-28.320
1610747623.288,-279.785,-33.203,-555.176,-90.820
1610747623.292,-125.488,-33.691,-159.668,-60.547
1610747623.296,195.801,-36.133,428.711,1.465
1610747623.298,104.980,-40.527,102.539,-8.789
1610747623.302,-236.328,-38.086,-447.266,-80.078
1610747623.306,-217.285,-32.227,-212.402,-89.844
1610747623.310,120.605,-38.086,288.086,-12.695
1610747623.314,168.945,-36.621,321.777,3.906
1610747623.318,-153.809,-27.832,-147.461,-62.988
1610747623.322,-265.137,-32.227,-421.875,-82.031
1610747623.325,42.480,-36.621,56.641,-20.508
1610747623.329,204.590,-35.156,193.359,16.602
1610747623.333,-62.012,-34.668,-276.367,-42.480
1610747623.337,-296.875,-39.062,-332.520,-106.445
1610747623.341,-68.848,-43.945,-10.254,-56.152
