timestamps,TP9,AF7,AF8,TP10
1610747551.839,-276.855,-32.227,-287.109,-88.867
1610747551.843,-108.887,-29.785,-274.414,-46.387
1610747551.847,185.059,-32.227,217.285,10.742
1610747551.851,85.938,-37.598,286.621,-20.508
1610747551.855,-233.398,-36.133,-229.980,-83.984
1610747551.859,-204.102,-30.273,-498.047,-76.172
1610747551.863,126.465,-31.738,102.539,-7.324
1610747551.866,159.180,-37.598,402.832,-0.977
1610747551.870,-166.504,-40.527,-96.680,-71.777
1610747551.874,-268.555,-41.992,-423.340,-86.914
1610747551.878,40.527,-42.480,29.785,-23.438
1610747551.882,201.172,-37.598,414.062,8.789
1610747551.867,-73.242,-34.180,-44.922,-45.410
1610747551.871,-282.715,-26.855,-439.453,-90.332
1610747551.875,-38.574,-25.391,32.715,-40.039
1610747551.879,196.777,-31.738,416.016,18.066
1610747551.883,1.953,-37.598,40.527,-25.879
1610747551.887,-272.461,-39.551,-442.383,-85.449
1610747551.891,-141.602,-36.621,-282.227,-56.641
1610747551.894,159.180,-29.785,230.469,14.160
1610747551.898,90.820,-27.832,133.789,0.977
1610747551.902,-220.215,-36.133,-310.059,-75.195
1610747551.906,-217.773,-40.527,-228.027,-83.984
1610747551.910,97.656,-38.574,206.055,-20.996
1610747551.912,155.762,-39.062,87.402,4.395
1610747551.916,-162.598,-41.992,-376.953,-66.895
1610747551.920,-285.645,-47.363,-293.945,-109.375
1610747551.924,19.531,-47.852,145.508,-38.086
1610747551.928,205.078,-35.156,310.059,12.207
1610747551.932,-46.387,-31.250,-27.832,-35.645
1610747551.936,-280.273,-38.086,-393.555,-86.914
1610747551.939,-69.824,-35.645,-96.191,-41.504
1610747551.943,180.664,-31.738,174.316,18.066
1610747551.947,23.438,-32.227,123.535,-22.949
1610747551.951,-264.160,-31.738,-277.832,-95.703
1610747551.955,-168.945,-37.109,-333.008,-73.242
1610747551.957,142.090,-38.086,42.969,-1.953
1610747551.961,129.883,-29.785,315.918,-5.371
1610747551.965,-194.336,-31.738,-62.012,-75.195
1610747551.969,-225.586,-34.668,-313.477,-77.637
1610747551.973,101.074,-31.250,199.219,-7.324
1610747551.977,134.277,-30.273,248.047,0.977
1610747551.981,-139.648,-33.691,-134.766,-57.617
1610747551.984,-264.648,-28.809,-476.562,-87.891
1610747551.988,-10.254,-24.902,-190.918,-37.598
1610747551.992,208.008,-31.250,417.969,7.324
1610747551.996,-25.391,-31.738,99.609,-34.668
1610747552.000,-297.852,-27.344,-508.789,-89.844
1610747552.003,-105.957,-33.203,-131.836,-57.617
1610747552.007,195.312,-35.156,426.270,7.812
1610747552.011,69.824,-38.086,180.664,-18.066
1610747552.015,-250.977,-41.992,-426.758,-85.449
1610747552.019,-183.105,-40.039,-291.016,-73.242
1610747552.023,146.484,-34.180,255.371,-1.465
1610747552.027,145.508,-33.691,218.262,5.371
1610747552.030,-184.082,-36.621,-438.477,-62.500
1610747552.034,-243.652,-33.691,-370.605,-86.426
1610747552.038,81.055,-34.180,276.855,-17.578
1610747552.042,201.172,-35.156,265.137,15.625
1610747552.046,-88.867,-33.203,-331.055,-45.410
1610747552.049,-271.484,-33.203,-379.883,-85.938
1610747552.053,-16.602,-29.785,67.871,-28.809
1610747552.057,204.590,-21.973,259.766,27.344
1610747552.061,0.488,-20.020,41.504,-28.809
1610747552.065,-266.113,-27.832,-299.805,-96.680
1610747552.069,-113.281,-31.250,-193.848,-59.082
1610747552.073,176.270,-33.203,174.805,5.371
1610747552.076,93.262,-31.250,156.250,-20.508
1610747552.080,-210.449,-19.531,-135.254,-82.520
1610747552.084,-186.523,-28.320,-194.824,-61.523
1610747552.088,121.094,-41.504,192.383,3.906
1610747552.092,159.668,-35.645,336.914,5.859
1610747552.092,-152.344,-33.691,-33.203,-66.895
1610747552.096,-262.207,-28.809,-328.125,-91.309
1610747552.100,41.504,-28.320,-12.695,-24.414
1610747552.104,206.055,-31.738,348.145,10.742
1610747552.108,-54.688,-25.391,-20.508,-50.293
1610747552.112,-263.184,-26.367,-456.543,-95.703
1610747552.116,-46.387,-33.203,-388.184,-31.738
1610747552.119,206.055,-32.227,145.996,21.484
1610747552.123,36.621,-33.691,250.000,-30.273
1610747552.127,-265.137,-36.621,-334.473,-94.727
1610747552.131,-151.367,-27.344,-309.570,-60.547
1610747552.135,158.203,-23.926,306.641,8.301
1610747552.152,105.469,-26.367,344.238,-13.672
1610747552.156,-219.727,-29.785,-273.438,-79.590
1610747552.160,-226.074,-35.645,-344.727,-82.520
1610747552.164,110.840,-34.180,271.484,-10.254
1610747552.168,176.270,-35.156,376.953,10.254
1610747552.172,-149.414,-40.039,-187.988,-63.477
1610747552.176,-285.645,-37.598,-463.867,-88.379
1610747552.179,13.672,-31.738,-5.859,-15.625
1610747552.183,207.520,-30.762,379.883,21.973
1610747552.187,-45.898,-28.809,-74.219,-34.668
1610747552.191,-284.180,-27.344,-447.754,-83.008
1610747552.195,-68.848,-27.832,-1.953,-38.086
