timestamps,TP9,AF7,AF8,TP10
1610747848.479,-109.375,-70.312,-235.352,-33.691
1610747848.483,144.531,-62.988,258.301,-5.371
1610747848.487,85.449,-50.293,181.641,-8.301
1610747848.491,-189.941,-48.828,-312.988,-54.199
1610747848.495,-190.918,-60.059,-416.504,-59.082
1610747848.499,87.891,-60.059,22.461,-17.578
1610747848.503,131.836,-52.734,213.867,-12.207
1610747848.506,-130.371,-50.781,-242.676,-43.945
1610747848.510,-234.863,-45.898,-626.953,-52.734
1610747848.514,11.719,-46.875,-128.906,-30.762
1610747848.518,161.133,-45.410,400.879,-17.090
1610747848.522,-56.152,-39.551,-30.273,-38.086
1610747848.524,-244.629,-47.852,-405.762,-61.035
1610747848.528,-52.246,-52.734,-13.672,-33.203
1610747848.532,171.875,-47.852,336.914,0.488
1610747848.536,26.367,-44.922,53.711,-24.902
1610747848.540,-225.098,-44.434,-363.281,-60.059
1610747848.544,-133.301,-49.316,-302.734,-48.340
1610747848.548,130.371,-55.664,158.203,-18.066
1610747848.551,86.914,-55.664,-38.574,-19.531
1610747848.555,-186.035,-43.457,-508.789,-54.199
1610747848.559,-186.523,-34.668,-251.465,-54.688
1610747848.563,82.520,-41.504,121.582,-18.555
1610747848.567,147.461,-43.457,253.906,-11.719
1610747848.569,-96.680,-44.434,-35.156,-33.691
1610747848.573,-215.820,-44.922,-300.781,-49.805
1610747848.577,9.766,-47.363,-28.809,-34.180
1610747848.581,161.133,-45.410,244.629,-20.020
1610747848.585,-32.227,-42.480,-19.531,-43.457
1610747848.589,-235.352,-39.551,-436.035,-57.617
1610747848.593,-66.406,-29.785,-274.902,-37.109
1610747848.596,157.227,-33.203,-194.336,-6.836
1610747848.600,42.480,-36.133,-285.156,-23.926
1610747848.604,-205.078,-28.320,-250.000,-64.941
1610747848.608,-147.461,-30.762,-363.281,-48.340
1610747848.612,117.676,-33.203,-59.570,-8.301
1610747848.614,114.258,-30.762,286.133,-13.672
1610747848.618,-156.738,-28.809,-110.840,-52.246
1610747848.622,-203.613,-32.227,-361.328,-55.664
1610747848.626,64.453,-40.527,104.004,-26.367
1610747848.630,157.715,-37.109,259.277,-20.996
1610747848.634,-84.961,-34.180,-171.387,-44.922
1610747848.638,-236.816,-30.762,-545.410,-54.688
1610747848.641,-10.742,-24.414,-202.637,-17.578
1610747848.645,181.152,-24.902,362.793,-0.488
1610747848.649,-3.418,-20.508,125.488,-25.879
1610747848.653,-231.445,-17.578,-353.027,-51.758
1610747848.657,-89.844,-22.949,-229.980,-38.574
1610747848.660,163.086,-21.973,260.742,-3.906
1610747848.664,73.730,-21.973,133.301,-14.648
1610747848.668,-201.660,-28.320,-359.375,-43.945
1610747848.672,-164.062,-27.832,-279.297,-40.527
1610747848.676,113.281,-26.367,200.195,-17.578
1610747848.680,126.953,-30.273,173.828,-24.414
1610747848.684,-147.461,-32.715,-364.746,-53.223
1610747848.687,-207.520,-29.297,-422.852,-61.035
1610747848.691,54.688,-31.738,129.883,-36.621
1610747848.695,153.320,-31.250,205.078,-29.785
1610747848.699,-81.543,-33.203,-249.023,-51.270
1610747848.703,-241.699,-33.691,-329.102,-62.500
1610747848.720,-36.621,-36.621,-13.184,-42.969
1610747848.724,163.574,-40.527,175.781,-19.043
1610747848.728,6.836,-41.992,2.930,-31.738
1610747848.732,-234.863,-45.898,-280.273,-67.871
1610747848.736,-123.047,-44.922,-143.555,-55.176
1610747848.740,135.742,-41.504,60.059,-9.766
1610747848.744,76.172,-37.598,-207.520,-21.973
1610747848.747,-183.594,-40.527,-304.199,-64.453
1610747848.751,-177.246,-42.969,-243.652,-63.965
1610747848.755,88.867,-39.551,111.816,-28.809
1610747848.759,134.277,-36.133,275.879,-19.531
1610747848.763,-128.418,-38.086,-82.031,-45.410
1610747848.764,-224.121,-41.016,-355.469,-64.453
1610747848.768,26.367,-42.969,-44.434,-35.645
1610747848.772,166.016,-44.434,304.688,-12.695
1610747848.776,-42.969,-44.434,-3.418,-43.945
1610747848.780,-237.305,-52.246,-440.430,-59.570
1610747848.784,-66.895,-54.688,-310.547,-39.062
1610747848.788,154.785,-47.852,148.438,-23.926
1610747848.791,19.043,-45.898,-7.812,-34.180
1610747848.795,-235.840,-43.457,-492.188,-63.477
1610747848.799,-147.461,-48.828,-585.938,-47.363
1610747848.803,129.883,-52.734,-76.660,-10.254
1610747848.807,106.934,-45.410,286.133,-20.020
1610747848.810,-172.363,-46.875,-206.055,-52.246
1610747848.814,-193.848,-50.293,-350.586,-52.246
1610747848.818,72.754,-47.852,152.832,-17.090
1610747848.822,140.137,-47.852,307.129,-15.137
1610747848.826,-111.328,-40.527,-126.465,-50.781
1610747848.830,-235.352,-34.668,-467.773,-63.477
1610747848.834,5.859,-37.109,-75.684,-27.832
1610747848.837,173.340,-41.992,322.266,-7.812
1610747848.841,-29.297,-44.434,-185.059,-30.273
1610747848.845,-246.582,-47.852,-601.562,-54.688
1610747848.849,-76.660,-48.828,-36.621,-46.875
1610747848.853,159.180,-40.039,288.086,-20.020
