timestamps,TP9,AF7,AF8,TP10
1610747839.989,-43.457,-27.832,-69.824,-42.480
1610747839.993,188.965,-26.855,292.480,-8.301
1610747839.997,31.738,-21.484,24.414,-21.484
1610747840.001,-233.887,-22.949,-333.008,-48.828
1610747840.005,-130.859,-29.297,-202.148,-41.504
1610747840.009,143.066,-35.156,146.973,-17.090
1610747840.013,94.727,-37.109,-5.859,-20.996
1610747840.016,-198.730,-34.180,-375.977,-50.293
1610747840.020,-205.566,-29.785,-285.645,-50.781
1610747840.024,96.680,-28.320,135.742,-25.391
1610747840.028,153.320,-27.344,-65.430,-18.555
1610747840.032,-120.605,-34.668,-437.500,-42.480
1610747840.034,-233.398,-40.527,-278.809,-56.641
1610747840.038,16.602,-39.551,-42.969,-20.020
1610747840.042,178.711,-31.738,193.359,-4.395
1610747840.046,-31.250,-21.484,53.711,-35.156
1610747840.050,-246.094,-24.414,-248.047,-62.500
1610747840.054,-73.730,-26.855,-360.840,-42.480
1610747840.058,165.039,-25.879,-76.172,-9.766
1610747840.061,48.340,-23.438,5.859,-25.391
1610747840.065,-225.586,-19.043,-385.742,-63.965
1610747840.069,-161.621,-24.414,-464.844,-55.176
1610747840.073,130.859,-29.785,-270.996,-15.137
1610747840.077,119.629,-28.320,157.227,-17.578
1610747840.094,-175.781,-32.715,-106.934,-46.875
1610747840.098,-213.867,-37.109,-416.992,-56.152
1610747840.102,69.336,-34.668,92.773,-36.133
1610747840.106,155.273,-35.156,306.641,-27.344
1610747840.110,-108.887,-32.715,-128.418,-49.805
1610747840.114,-260.742,-27.832,-491.211,-66.895
1610747840.118,-21.484,-29.785,-101.562,-51.270
1610747840.121,166.504,-35.156,320.312,-30.762
1610747840.125,-27.344,-39.062,-39.062,-37.598
1610747840.129,-261.230,-37.109,-502.441,-63.477
1610747840.133,-100.586,-33.691,-204.102,-43.457
1610747840.137,164.062,-33.203,212.402,-10.742
1610747840.139,64.941,-32.227,59.082,-22.461
1610747840.143,-214.844,-30.762,-376.953,-51.270
1610747840.147,-165.039,-31.250,-260.742,-51.758
1610747840.151,124.512,-28.320,195.801,-16.602
1610747840.155,125.488,-29.785,137.207,-13.672
1610747840.159,-161.133,-32.227,-356.445,-52.246
1610747840.163,-229.004,-30.762,-451.172,-57.617
1610747840.166,49.805,-27.832,-4.395,-20.020
1610747840.170,161.621,-31.250,63.965,-8.301
1610747840.174,-92.285,-39.062,-418.945,-45.410
1610747840.178,-249.512,-38.574,-405.762,-62.988
1610747840.182,-22.461,-38.086,-23.438,-28.320
1610747840.185,183.105,-39.062,292.480,-13.184
1610747840.189,5.371,-40.527,90.332,-34.668
1610747840.193,-250.000,-39.062,-309.082,-56.641
1610747840.197,-116.211,-34.180,-193.848,-45.410
1610747840.201,162.109,-24.414,188.477,-11.230
1610747840.205,85.938,-20.020,103.027,-15.137
1610747840.209,-206.055,-26.855,-299.805,-56.152
1610747840.212,-188.477,-35.645,-299.316,-62.500
1610747840.216,98.633,-38.574,-161.621,-17.578
1610747840.220,139.160,-32.227,100.098,-13.672
1610747840.224,-134.277,-25.391,-20.020,-51.270
1610747840.228,-238.281,-26.367,-429.688,-57.617
1610747840.229,20.020,-33.691,-111.328,-32.227
1610747840.233,167.480,-38.574,322.266,-20.996
1610747840.237,-60.059,-42.969,8.301,-43.457
1610747840.241,-256.836,-43.457,-453.125,-67.383
1610747840.245,-62.500,-44.922,-276.367,-50.781
1610747840.249,166.016,-48.828,168.457,-19.043
1610747840.253,25.391,-45.410,-9.277,-32.227
1610747840.256,-243.164,-42.969,-511.719,-67.383
1610747840.260,-150.391,-38.574,-618.652,-54.688
1610747840.264,136.230,-28.809,-43.945,-21.484
1610747840.268,101.562,-21.973,241.211,-24.414
1610747840.272,-191.406,-30.762,-224.609,-60.547
1610747840.274,-206.543,-38.086,-354.004,-62.012
1610747840.278,84.961,-33.203,30.273,-27.832
1610747840.282,160.156,-36.621,231.934,-17.578
1610747840.286,-108.887,-31.738,-179.199,-43.457
1610747840.290,-241.211,-28.320,-393.555,-65.918
1610747840.294,20.996,-30.273,-105.469,-33.691
1610747840.298,177.734,-33.203,185.059,-16.602
1610747840.301,-49.805,-34.668,-273.926,-45.410
1610747840.305,-250.488,-28.809,-580.078,-56.641
1610747840.309,-72.266,-25.391,-26.367,-43.457
1610747840.313,174.805,-26.855,266.113,-20.508
1610747840.317,46.387,-35.645,121.582,-29.785
1610747840.319,-239.258,-40.527,-231.445,-60.059
1610747840.323,-167.480,-38.086,-192.383,-52.734
1610747840.327,119.141,-37.598,68.359,-22.949
1610747840.331,108.398,-31.250,77.148,-30.273
1610747840.335,-177.246,-33.691,-151.855,-62.500
1610747840.339,-223.633,-37.598,-414.062,-57.617
1610747840.343,54.199,-32.715,-208.984,-25.879
1610747840.346,142.578,-29.785,-232.910,-21.484
1610747840.350,-100.098,-32.227,-323.242,-56.641
1610747840.354,-250.000,-32.227,-321.777,-80.078
1610747840.358,-25.879,-30.762,-211.914,-45.410
1610747840.362,163.086,-27.832,148.926,-21.484
1610747840.364,-26.367,-24.902,163.086,-41.016
1610747840.368,-258.789,-33.203,-281.250,-62.988
1610747840.372,-108.887,-34.180,-341.797,-47.363
1610747840.376,153.320,-33.203,164.551,-20.020
1610747840.380,72.754,-37.598,186.523,-24.414
1610747840.384,-202.637,-35.645,-332.031,-41.992
1610747840.388,-173.828,-34.668,-491.699,-42.969
1610747840.391,116.699,-28.320,-28.809,-22.949
1610747840.395,131.348,-24.414,285.645,-25.391
1610747840.399,-157.227,-36.133,-151.855,-52.734
1610747840.403,-226.074,-37.598,-421.875,-55.176
1610747840.407,49.316,-32.227,7.324,-24.414
