timestamps,TP9,AF7,AF8,TP10
1610747634.638,-264.648,-32.715,-556.641,-104.492
1610747634.642,-70.312,-25.391,-370.117,-47.363
1610747634.646,176.270,-29.785,333.496,15.137
1610747634.650,22.949,-42.480,221.680,-29.785
1610747634.654,-252.441,-44.922,-355.957,-101.074
1610747634.658,-145.508,-41.016,-277.832,-70.801
1610747634.662,142.578,-43.457,302.734,7.812
1610747634.665,96.191,-48.828,212.402,-3.906
1610747634.669,-201.660,-48.828,-414.062,-90.332
1610747634.673,-202.637,-47.852,-225.098,-89.355
1610747634.677,88.379,-46.875,302.246,5.371
1610747634.681,150.879,-42.480,299.316,20.020
1610747634.698,-121.582,-41.504,-65.918,-65.430
1610747634.702,-252.441,-42.969,-324.707,-97.656
1610747634.706,0.488,-40.039,10.742,-20.996
1610747634.710,169.434,-40.527,281.738,23.438
1610747634.714,-42.480,-45.898,27.344,-45.898
1610747634.718,-257.812,-43.945,-360.352,-112.793
1610747634.722,-78.125,-40.527,-230.469,-56.152
1610747634.725,178.223,-39.062,326.172,23.438
1610747634.729,54.688,-37.598,239.746,-19.531
1610747634.733,-227.051,-34.180,-333.984,-102.051
1610747634.737,-158.691,-35.156,-312.500,-80.078
1610747634.741,130.859,-36.133,236.816,3.418
1610747634.728,126.953,-34.180,343.262,4.395
1610747634.732,-168.945,-31.250,-97.168,-78.125
1610747634.736,-221.191,-30.762,-320.801,-90.820
1610747634.740,57.617,-32.715,-235.352,-2.441
1610747634.744,159.180,-33.203,85.449,30.762
1610747634.748,-93.750,-35.645,-16.602,-52.734
1610747634.752,-254.883,-38.086,-542.969,-105.957
1610747634.755,-18.555,-38.574,-123.047,-33.203
1610747634.759,185.059,-41.504,410.645,22.949
1610747634.763,0.000,-36.133,187.500,-33.203
1610747634.767,-252.930,-32.715,-392.090,-102.539
1610747634.771,-111.816,-34.668,-392.578,-59.082
1610747634.803,166.504,-37.598,334.473,18.555
1610747634.807,77.148,-35.645,304.199,-4.883
1610747634.811,-219.238,-31.738,-287.109,-92.285
1610747634.815,-176.270,-39.551,-237.793,-88.379
1610747634.819,125.488,-42.480,295.898,2.441
1610747634.823,141.602,-35.645,288.574,15.625
1610747634.827,-162.598,-37.598,-408.691,-73.242
1610747634.830,-240.723,-32.715,-585.938,-101.562
1610747634.834,44.922,-31.738,104.004,-18.555
1610747634.838,170.410,-41.504,392.090,21.973
1610747634.842,-79.102,-42.969,-216.797,-47.363
1610747634.846,-261.719,-38.574,-543.945,-101.562
1610747634.833,-27.344,-34.180,74.219,-38.574
1610747634.837,191.895,-31.250,374.023,29.297
1610747634.841,17.578,-31.738,128.418,-16.113
1610747634.845,-238.770,-37.109,-248.047,-97.168
1610747634.849,-121.582,-34.180,-103.027,-66.406
1610747634.853,151.855,-35.645,270.020,26.367
1610747634.857,89.844,-44.922,205.566,-0.977
1610747634.860,-204.102,-47.852,-174.316,-98.633
1610747634.864,-196.289,-40.039,-231.934,-93.262
1610747634.868,96.191,-35.156,161.133,-0.977
1610747634.872,142.578,-34.180,201.172,20.996
1610747634.876,-127.930,-24.414,-172.852,-63.477
1610747634.864,-229.980,-23.438,-321.289,-93.262
1610747634.868,29.297,-23.438,-67.871,-11.230
1610747634.872,169.434,-28.320,198.242,28.320
1610747634.876,-50.293,-33.203,100.098,-43.945
1610747634.880,-248.535,-31.738,-325.195,-96.191
1610747634.884,-61.523,-26.367,-246.094,-38.574
1610747634.888,183.594,-27.832,252.441,30.762
1610747634.891,38.574,-43.457,244.141,-20.996
1610747634.895,-227.051,-41.992,-250.488,-99.609
1610747634.899,-140.137,-31.250,-462.402,-61.523
1610747634.903,128.906,-30.762,6.348,20.508
1610747634.907,115.234,-37.109,388.184,0.488
1610747634.923,-179.199,-43.457,-138.672,-83.984
1610747634.927,-210.938,-37.598,-435.547,-87.402
1610747634.931,83.984,-30.762,98.145,-14.160
1610747634.935,169.922,-33.691,425.781,13.184
1610747634.939,-101.562,-39.062,-85.449,-58.594
1610747634.943,-251.953,-45.898,-553.711,-98.145
1610747634.947,1.465,-52.734,-21.484,-24.414
1610747634.950,193.848,-47.852,466.797,29.785
1610747634.954,-24.414,-37.109,-59.082,-34.668
1610747634.958,-256.836,-39.062,-535.156,-106.934
1610747634.962,-84.473,-48.828,-43.945,-62.500
1610747634.966,174.316,-45.410,432.617,16.602
1610747634.983,57.617,-37.109,16.113,-14.648
1610747634.987,-230.469,-34.180,-533.203,-100.098
1610747634.991,-164.062,-33.203,-169.922,-83.008
1610747634.995,125.977,-37.109,310.547,13.184
1610747634.999,123.047,-36.133,149.902,16.602
1610747635.003,-166.992,-32.227,-369.629,-72.754
1610747635.007,-222.168,-35.156,-365.234,-89.844
1610747635.010,61.523,-37.109,185.547,-10.742
1610747635.014,159.180,-41.992,197.754,19.043
1610747635.018,-102.539,-42.480,-288.574,-59.082
1610747635.022,-259.277,-39.062,-413.086,-104.980
1610747635.026,-29.785,-38.086,5.859,-33.691
