timestamps,TP9,AF7,AF8,TP10
1610747638.479,191.406,-26.855,241.211,12.207
1610747638.483,-84.473,-28.809,111.816,-50.781
1610747638.487,-290.039,-36.621,-332.031,-91.309
1610747638.491,-12.207,-33.203,-16.113,-27.832
1610747638.495,208.008,-28.809,340.332,19.531
1610747638.499,-23.438,-32.715,-68.359,-31.250
1610747638.503,-272.949,-34.668,-457.520,-78.125
1610747638.506,-120.605,-35.645,-325.195,-41.016
1610747638.510,207.031,-38.086,272.461,20.020
1610747638.514,125.000,-39.062,346.191,-2.930
1610747638.518,-219.727,-36.621,-325.195,-74.707
1610747638.522,-201.660,-42.480,-367.676,-77.148
1610747638.523,146.973,-43.457,282.227,-3.418
1610747638.527,183.105,-42.480,345.703,13.184
1610747638.531,-154.785,-46.875,-173.828,-57.129
1610747638.535,-262.695,-39.062,-395.020,-83.496
1610747638.539,56.641,-27.344,124.023,-14.648
1610747638.543,212.891,-27.344,356.445,11.719
1610747638.547,-74.219,-30.762,-198.730,-55.664
1610747638.550,-305.664,-30.762,-568.359,-106.445
1610747638.554,-56.641,-26.855,22.461,-63.965
1610747638.558,215.332,-26.367,392.090,-2.930
1610747638.562,22.949,-27.832,-41.016,-29.785
1610747638.566,-283.203,-26.367,-442.383,-98.633
1610747638.569,-151.855,-22.461,-78.125,-83.496
1610747638.573,173.340,-20.996,333.008,-12.207
1610747638.577,129.395,-21.484,147.461,-6.836
1610747638.581,-199.707,-20.508,-262.695,-71.289
1610747638.585,-217.285,-26.855,-297.852,-72.754
1610747638.589,117.188,-32.227,107.422,0.977
1610747638.593,192.871,-27.344,166.504,24.902
1610747638.596,-114.746,-25.879,-142.090,-38.574
1610747638.600,-261.719,-31.250,-276.855,-80.566
1610747638.604,31.250,-30.762,82.031,-15.625
1610747638.608,230.469,-33.691,349.121,25.391
1610747638.612,-23.438,-38.086,147.461,-42.480
1610747638.613,-270.996,-30.762,-234.375,-89.355
1610747638.617,-64.941,-23.926,-121.582,-41.504
1610747638.621,220.703,-26.855,327.637,21.484
1610747638.625,68.359,-28.320,220.703,-11.719
1610747638.629,-268.066,-27.832,-297.852,-93.750
1610747638.633,-187.500,-23.438,-498.047,-70.801
1610747638.637,150.391,-25.391,-21.973,9.277
1610747638.640,143.555,-30.762,363.281,3.418
1610747638.644,-197.754,-30.762,-110.352,-69.824
1610747638.648,-257.324,-29.297,-440.918,-85.449
1610747638.652,74.219,-28.320,75.195,-19.043
1610747638.656,190.430,-28.320,447.754,14.160
1610747638.673,-116.211,-27.344,-39.062,-54.199
1610747638.677,-297.363,-34.180,-460.449,-96.191
1610747638.681,-12.695,-40.527,44.434,-32.715
1610747638.685,220.703,-38.086,437.988,18.066
1610747638.689,0.977,-36.133,69.824,-19.531
1610747638.693,-277.344,-39.551,-460.938,-75.195
1610747638.697,-102.539,-43.457,-152.832,-46.875
1610747638.700,207.031,-42.480,349.609,20.508
1610747638.704,90.332,-42.969,136.719,-2.930
1610747638.708,-249.512,-44.922,-425.781,-71.777
1610747638.712,-185.547,-44.434,-256.348,-54.199
1610747638.716,167.480,-42.969,324.707,16.602
1610747638.718,174.805,-40.039,247.070,20.508
1610747638.722,-163.086,-41.016,-237.793,-48.340
1610747638.726,-238.770,-44.434,-284.668,-64.453
1610747638.730,82.031,-42.480,176.270,0.000
1610747638.734,218.262,-40.527,329.590,29.297
1610747638.738,-77.637,-41.016,-138.184,-33.691
1610747638.742,-292.969,-44.434,-450.195,-85.938
1610747638.745,-31.738,-41.992,45.898,-38.574
1610747638.749,214.355,-42.480,219.238,15.137
1610747638.753,-3.418,-45.410,-224.121,-23.926
1610747638.757,-300.781,-44.922,-442.383,-89.355
1610747638.761,-139.648,-45.410,-79.590,-58.105
1610747638.778,183.594,-40.527,198.242,18.066
1610747638.782,108.887,-34.668,122.070,-4.395
1610747638.786,-227.539,-35.156,-87.891,-90.332
1610747638.790,-223.145,-34.668,-287.598,-93.750
1610747638.794,127.441,-32.715,178.223,-12.207
1610747638.798,178.223,-36.133,282.227,3.418
1610747638.802,-149.414,-38.086,-150.391,-61.035
1610747638.805,-259.766,-37.109,-376.953,-78.613
1610747638.809,42.480,-37.109,-146.973,-17.578
1610747638.813,206.055,-35.156,317.871,12.207
1610747638.817,-62.012,-38.574,134.766,-36.133
1610747638.821,-298.340,-45.410,-407.715,-83.496
1610747638.809,-63.965,-40.039,-125.000,-44.434
1610747638.813,222.168,-31.738,374.023,11.230
1610747638.817,52.246,-33.203,245.605,-27.344
1610747638.821,-278.320,-36.133,-353.027,-93.750
1610747638.825,-145.508,-38.086,-326.660,-63.965
1610747638.829,205.566,-41.504,320.312,9.277
1610747638.833,133.301,-36.621,236.328,-1.465
1610747638.836,-213.867,-31.738,-282.227,-69.336
1610747638.840,-231.445,-36.133,-254.395,-70.801
1610747638.844,104.492,-40.527,182.129,2.441
1610747638.848,190.430,-40.039,316.895,20.020
1610747638.852,-129.395,-41.992,-243.652,-49.805
