timestamps,TP9,AF7,AF8,TP10
1610747642.048,-46.387,-30.273,25.391,-45.410
1610747642.052,220.215,-23.438,387.207,15.137
1610747642.056,33.691,-31.738,184.570,-27.344
1610747642.060,-277.344,-42.969,-253.418,-96.680
1610747642.064,-150.391,-41.504,-221.680,-67.871
1610747642.068,182.617,-35.156,221.191,9.277
1610747642.072,122.559,-29.785,204.102,-2.930
1610747642.075,-222.656,-27.832,-234.863,-77.637
1610747642.079,-220.215,-32.715,-315.918,-75.195
1610747642.083,114.258,-39.062,-133.301,2.930
1610747642.087,183.594,-35.645,199.707,4.395
1610747642.091,-130.859,-32.227,61.035,-77.637
1610747642.093,-276.367,-29.785,-396.484,-95.215
1610747642.097,24.414,-28.320,-2.441,-26.367
1610747642.101,220.215,-34.668,424.316,12.695
1610747642.105,-35.156,-28.809,133.301,-32.715
1610747642.109,-291.992,-19.531,-311.035,-89.844
1610747642.113,-77.637,-22.949,-213.379,-46.387
1610747642.117,196.777,-25.879,279.297,17.090
1610747642.120,36.133,-32.227,191.895,-24.414
1610747642.124,-276.855,-35.645,-448.730,-92.285
1610747642.128,-188.477,-34.668,-628.418,-65.918
1610747642.132,164.551,-35.156,110.840,5.859
1610747642.136,140.625,-39.062,340.820,-4.883
1610747642.138,-206.055,-42.480,-236.328,-64.453
1610747642.142,-245.117,-39.062,-259.277,-70.801
1610747642.146,93.750,-28.809,264.160,-12.695
1610747642.150,197.266,-23.926,361.816,15.625
1610747642.154,-106.445,-31.738,-109.863,-41.992
1610747642.158,-274.902,-39.062,-448.730,-82.031
1610747642.162,-10.254,-40.039,-14.160,-29.785
1610747642.165,212.891,-37.598,381.836,21.484
1610747642.169,-18.555,-35.645,-76.660,-22.461
1610747642.173,-292.969,-37.109,-414.551,-84.473
1610747642.177,-103.027,-37.109,-61.523,-50.293
1610747642.181,205.078,-40.039,284.180,23.926
1610747642.183,87.891,-37.109,205.078,-4.395
1610747642.187,-242.676,-28.320,-162.109,-85.449
1610747642.191,-187.988,-29.785,-196.289,-71.289
1610747642.195,154.297,-30.762,222.656,0.000
1610747642.199,165.039,-32.227,260.742,-1.465
1610747642.203,-175.293,-32.227,-221.191,-70.312
1610747642.207,-252.441,-29.297,-383.789,-84.473
1610747642.210,73.730,-32.227,-98.145,-13.672
1610747642.214,207.031,-33.691,154.297,20.508
1610747642.218,-82.520,-29.297,-24.414,-43.945
1610747642.222,-278.809,-26.367,-386.719,-79.590
1610747642.226,-17.090,-24.902,-227.051,-17.090
1610747642.229,227.539,-20.996,213.867,27.344
1610747642.233,19.043,-27.344,195.801,-23.926
1610747642.237,-277.344,-36.621,-350.098,-86.426
1610747642.241,-124.023,-40.039,-283.691,-61.035
1610747642.245,187.500,-39.062,272.461,9.766
1610747642.249,91.797,-35.156,245.605,-10.742
1610747642.253,-240.234,-28.809,-331.055,-87.402
1610747642.256,-218.750,-29.785,-400.879,-76.172
1610747642.260,123.047,-37.598,208.496,-6.348
1610747642.264,171.875,-34.180,438.965,2.930
1610747642.268,-163.574,-29.785,-133.301,-67.383
1610747642.272,-269.531,-30.762,-427.246,-94.238
1610747642.273,54.199,-33.203,151.855,-26.855
1610747642.277,222.168,-36.621,444.824,12.207
1610747642.281,-63.965,-36.621,-61.035,-46.387
1610747642.285,-287.598,-36.133,-437.012,-92.773
1610747642.289,-50.293,-36.133,-108.887,-43.945
1610747642.293,200.684,-34.668,300.781,17.578
1610747642.297,22.949,-38.574,-54.688,-21.973
1610747642.300,-291.992,-42.480,-614.746,-94.238
1610747642.304,-158.203,-38.574,-106.445,-70.312
1610747642.308,184.082,-30.273,380.859,1.465
1610747642.312,116.699,-27.344,53.711,-6.348
1610747642.316,-229.492,-26.367,-410.645,-86.426
1610747642.318,-224.609,-30.273,-216.309,-94.727
1610747642.322,108.887,-39.551,216.797,-14.648
1610747642.326,182.129,-42.480,342.773,1.953
1610747642.330,-129.883,-37.109,-28.320,-65.918
1610747642.334,-275.879,-35.645,-356.934,-84.961
1610747642.338,14.648,-37.109,14.160,-25.879
1610747642.342,209.473,-38.574,179.199,17.578
1610747642.345,-40.039,-41.016,-143.555,-36.621
1610747642.349,-291.992,-37.109,-329.102,-96.680
1610747642.353,-77.637,-32.715,-60.547,-53.711
1610747642.357,206.055,-38.086,307.129,7.812
1610747642.361,60.059,-37.598,209.961,-22.461
1610747642.363,-258.301,-35.156,-223.633,-88.379
1610747642.367,-179.688,-37.598,-282.715,-60.547
1610747642.371,159.180,-32.227,192.871,4.883
1610747642.375,154.297,-30.762,336.914,-2.441
1610747642.379,-183.594,-39.062,-94.238,-71.289
1610747642.383,-248.047,-41.016,-455.566,-82.031
1610747642.387,77.637,-38.086,-73.242,-14.648
1610747642.390,200.195,-33.203,381.836,8.789
1610747642.394,-100.586,-28.320,44.434,-54.199
1610747642.398,-294.922,-27.344,-507.812,-90.332
1610747642.402,-19.043,-28.320,-185.059,-30.762
1610747642.406,217.773,-32.227,414.062,20.508
