timestamps,TP9,AF7,AF8,TP10
1610747845.285,-244.629,-42.969,-326.172,-61.523
1610747845.289,-99.609,-40.527,-332.031,-45.898
1610747845.293,145.020,-31.738,13.672,-10.254
1610747845.297,43.945,-40.039,166.016,-27.344
1610747845.301,-220.703,-42.480,-251.465,-67.871
1610747845.305,-161.621,-43.457,-479.492,-58.105
1610747845.309,104.004,-54.199,-175.781,-26.367
1610747845.312,112.793,-52.734,123.535,-28.320
1610747845.316,-147.949,-45.410,-130.371,-58.105
1610747845.320,-215.332,-44.922,-456.543,-63.965
1610747845.324,35.156,-48.828,-174.805,-32.227
1610747845.328,144.043,-51.270,319.824,-22.461
1610747845.344,-91.309,-57.617,-39.551,-55.664
1610747845.348,-252.930,-66.406,-449.219,-75.195
1610747845.352,-40.039,-62.012,-45.898,-51.758
1610747845.356,163.086,-51.270,315.430,-20.508
1610747845.360,1.465,-56.152,-28.320,-37.598
1610747845.364,-235.352,-67.871,-609.375,-65.918
1610747845.368,-107.422,-57.129,-429.199,-42.480
1610747845.371,151.367,-46.875,242.676,-18.555
1610747845.375,77.637,-55.664,172.852,-27.344
1610747845.379,-194.336,-52.246,-295.898,-50.293
1610747845.383,-167.480,-47.363,-265.625,-48.340
1610747845.387,107.910,-52.734,208.984,-21.973
1610747845.389,128.418,-58.594,215.820,-20.996
1610747845.393,-137.695,-61.035,-236.328,-48.828
1610747845.397,-214.355,-44.922,-351.074,-54.688
1610747845.401,32.227,-34.668,41.016,-28.809
1610747845.405,150.879,-45.410,229.004,-19.043
1610747845.409,-70.801,-47.852,-240.234,-46.875
1610747845.413,-250.977,-47.363,-494.629,-63.477
1610747845.416,-62.500,-51.270,-190.918,-46.875
1610747845.420,157.715,-48.828,90.332,-16.602
1610747845.424,9.277,-45.898,-325.684,-24.414
1610747845.428,-243.164,-37.109,-555.176,-60.059
1610747845.432,-123.047,-38.086,-141.113,-47.363
1610747845.434,145.020,-45.410,188.965,-11.230
1610747845.438,94.727,-47.363,200.195,-23.438
1610747845.442,-177.734,-60.547,-148.438,-63.965
1610747845.446,-183.105,-62.500,-315.430,-60.059
1610747845.450,90.820,-50.293,28.320,-20.020
1610747845.454,139.160,-49.316,176.270,-14.160
1610747845.458,-120.117,-48.828,-173.828,-48.828
1610747845.461,-223.633,-38.086,-368.164,-63.477
1610747845.465,6.348,-39.062,-287.109,-34.180
1610747845.469,158.203,-46.875,-7.324,-11.230
1610747845.473,-36.133,-58.594,-33.691,-34.668
1610747845.477,-246.094,-66.895,-400.391,-64.941
1610747845.479,-82.520,-57.617,-287.598,-51.270
1610747845.483,157.227,-45.898,187.500,-20.996
1610747845.487,39.062,-47.363,189.453,-34.180
1610747845.491,-226.562,-42.480,-341.309,-64.453
1610747845.495,-146.973,-39.062,-386.230,-52.246
1610747845.499,124.023,-48.340,86.426,-16.602
1610747845.503,108.398,-42.969,125.977,-12.207
1610747845.506,-160.645,-43.457,-368.652,-36.133
1610747845.510,-209.473,-54.199,-672.852,-38.574
1610747845.514,62.988,-46.387,-89.355,-16.113
1610747845.518,156.250,-36.133,327.637,-11.719
1610747845.522,-93.750,-37.598,-92.773,-45.898
1610747845.525,-232.910,-36.621,-429.199,-63.477
1610747845.529,-11.230,-35.645,-52.246,-28.809
1610747845.533,165.039,-46.875,320.801,-0.977
1610747845.537,-27.832,-58.594,-77.637,-29.785
1610747845.541,-247.559,-58.594,-453.613,-63.965
1610747845.545,-90.820,-51.270,-246.094,-40.039
1610747845.549,151.367,-48.340,200.195,-8.301
1610747845.552,46.387,-38.086,-72.754,-21.973
1610747845.556,-216.797,-30.762,-509.766,-61.035
1610747845.560,-156.738,-46.875,-218.750,-61.035
1610747845.564,103.516,-69.336,131.348,-25.391
1610747845.568,102.539,-68.359,188.965,-22.461
1610747845.569,-155.273,-48.340,-127.930,-54.199
1610747845.573,-218.262,-47.363,-332.520,-61.523
1610747845.577,41.016,-45.898,19.531,-25.391
1610747845.581,151.367,-40.527,184.082,-18.066
1610747845.585,-80.566,-30.762,-193.359,-56.152
1610747845.589,-238.281,-26.367,-479.492,-73.730
1610747845.593,-29.785,-51.758,-234.375,-48.340
1610747845.596,152.344,-60.547,-244.629,-20.508
1610747845.600,-11.719,-57.129,-354.004,-34.180
1610747845.604,-233.887,-50.293,-276.855,-70.801
1610747845.608,-115.723,-41.016,-237.793,-60.059
1610747845.612,145.996,-44.434,148.438,-20.508
1610747845.614,82.031,-45.898,218.750,-23.926
1610747845.618,-202.148,-46.387,-251.465,-63.965
1610747845.622,-191.406,-46.387,-379.883,-66.895
1610747845.626,94.238,-43.457,120.605,-26.367
1610747845.630,135.254,-44.922,268.066,-20.996
1610747845.634,-133.301,-36.133,-234.375,-54.688
1610747845.638,-228.516,-35.156,-623.047,-54.199
1610747845.641,26.855,-48.828,-186.035,-21.484
1610747845.645,172.852,-44.922,359.375,-19.043
1610747845.649,-53.711,-42.480,-43.457,-49.805
1610747845.653,-244.629,-43.457,-463.867,-62.500
1610747845.657,-49.805,-42.480,-71.289,-35.645
