timestamps,TP9,AF7,AF8,TP10
1610747836.809,-246.582,-30.273,-408.203,-66.406
1610747836.813,1.465,-28.320,5.371,-39.062
1610747836.817,182.129,-34.668,341.797,-17.578
1610747836.821,-29.297,-38.574,-39.062,-37.109
1610747836.825,-262.695,-34.668,-491.699,-52.246
1610747836.829,-89.844,-38.086,-300.293,-32.715
1610747836.833,175.781,-32.715,183.105,-11.230
1610747836.836,71.289,-22.949,142.090,-15.137
1610747836.840,-226.562,-31.250,-490.234,-42.969
1610747836.844,-170.898,-40.039,-338.867,-53.711
1610747836.848,129.883,-32.227,270.020,-35.645
1610747836.852,118.164,-29.785,183.594,-29.785
1610747836.854,-174.316,-31.738,-275.879,-58.105
1610747836.858,-233.887,-30.273,-358.887,-68.359
1610747836.862,47.363,-30.762,67.383,-34.180
1610747836.866,163.574,-27.344,104.004,-17.578
1610747836.870,-91.309,-28.809,-333.008,-40.527
1610747836.874,-253.906,-31.738,-475.586,-57.617
1610747836.878,-21.973,-33.691,-198.730,-41.016
1610747836.881,173.828,-37.598,13.184,-18.555
1610747836.885,-15.625,-38.574,-440.918,-31.250
1610747836.889,-252.930,-30.273,-528.320,-59.570
1610747836.893,-111.328,-28.320,-141.602,-44.434
1610747836.897,158.203,-31.250,206.543,-19.531
1610747836.899,72.754,-31.738,189.453,-30.273
1610747836.903,-212.891,-34.668,-231.934,-53.711
1610747836.907,-179.199,-37.109,-329.102,-56.641
1610747836.911,104.492,-35.156,47.363,-24.414
1610747836.915,130.859,-29.785,196.777,-16.113
1610747836.919,-144.043,-21.484,-268.555,-47.363
1610747836.923,-234.375,-23.926,-462.402,-56.641
1610747836.926,41.504,-32.227,-214.355,-23.438
1610747836.930,161.621,-38.574,135.254,-20.020
1610747836.934,-88.867,-34.180,-63.477,-49.316
1610747836.938,-253.418,-31.250,-538.086,-47.363
1610747836.942,-46.387,-37.109,-219.727,-24.902
1610747836.945,188.965,-40.527,328.125,-13.672
1610747836.949,31.738,-35.156,142.578,-29.785
1610747836.953,-240.723,-30.762,-347.656,-57.617
1610747836.957,-128.906,-34.668,-269.531,-51.758
1610747836.961,154.785,-33.203,189.453,-22.461
1610747836.965,96.680,-35.645,112.793,-29.785
1610747836.969,-199.219,-44.434,-503.906,-61.035
1610747836.972,-202.637,-39.062,-619.629,-58.105
1610747836.976,95.703,-31.738,107.422,-30.762
1610747836.980,152.832,-33.203,277.832,-21.484
1610747836.984,-126.953,-36.621,-166.016,-48.828
1610747836.988,-234.863,-36.621,-332.520,-64.453
1610747836.990,27.832,-26.855,-19.043,-29.297
1610747836.994,184.570,-24.414,214.355,-14.648
1610747836.998,-37.109,-23.926,-110.352,-47.363
1610747837.002,-258.789,-29.297,-399.902,-65.430
1610747837.006,-78.125,-37.109,-103.027,-41.504
1610747837.010,173.340,-37.598,226.562,-7.324
1610747837.014,35.156,-34.668,-201.172,-17.090
1610747837.017,-235.352,-31.738,-555.664,-48.828
1610747837.021,-136.719,-34.180,-177.246,-41.992
1610747837.025,139.160,-33.691,144.531,-12.695
1610747837.029,108.887,-32.715,149.902,-21.973
1610747837.033,-169.434,-35.156,-186.035,-56.641
1610747837.034,-205.078,-43.457,-333.496,-63.477
1610747837.038,70.801,-43.457,-20.996,-35.645
1610747837.042,160.156,-31.250,202.637,-26.367
1610747837.046,-107.422,-31.250,-146.484,-55.664
1610747837.050,-252.930,-34.180,-429.688,-67.383
1610747837.054,-11.719,-30.762,-302.246,-36.621
1610747837.058,166.504,-36.621,-226.562,-9.766
1610747837.061,-27.832,-45.410,-183.105,-32.715
1610747837.065,-257.324,-41.992,-306.641,-61.035
1610747837.069,-100.098,-35.156,-356.445,-41.016
1610747837.073,168.457,-33.203,20.996,-6.836
1610747837.077,70.801,-34.180,238.281,-20.508
1610747837.094,-217.773,-39.062,-278.320,-49.805
1610747837.098,-161.133,-39.062,-395.996,-46.875
1610747837.102,127.441,-38.086,132.812,-28.320
1610747837.106,128.418,-35.156,265.625,-35.156
1610747837.110,-152.832,-36.621,-179.199,-52.734
1610747837.114,-222.656,-38.574,-485.352,-55.664
1610747837.118,54.688,-33.691,-97.168,-35.156
1610747837.121,173.828,-41.016,241.699,-17.090
1610747837.125,-76.660,-40.527,-130.371,-36.621
1610747837.129,-255.371,-35.645,-583.496,-55.176
1610747837.133,-33.203,-35.645,-121.582,-43.945
1610747837.137,181.152,-32.715,368.164,-22.949
1610747837.139,-3.906,-36.133,-56.641,-40.527
1610747837.143,-256.836,-40.527,-475.586,-66.895
1610747837.147,-119.141,-38.574,-165.527,-43.945
1610747837.151,154.785,-39.551,225.098,-14.160
1610747837.155,79.590,-37.109,27.344,-27.832
1610747837.159,-202.637,-31.250,-458.984,-58.105
1610747837.163,-175.781,-27.832,-452.148,-59.082
1610747837.166,112.305,-32.715,51.758,-31.250
1610747837.170,140.137,-37.109,2.930,-20.508
1610747837.174,-153.320,-37.598,-647.461,-44.434
1610747837.178,-235.352,-38.574,-489.746,-55.176
1610747837.182,43.945,-36.133,85.938,-32.715
